lease_id,unit_id,property_id,metro,lease_start_date,leased_month,as_of_date,tenure_months,monthly_rent,market_rent_proxy,rent_to_market_ratio,late_payment_count_12m,work_order_count_12m,prior_renewal_count,bedrooms,renewed,synthetic_signal_z,dataset_version_id,cohort_month,is_long_tenure,high_service_load,ecosystem_segment,brand_line,flagship_style,metro_cluster,property_name,renewal_probability_ml,predicted_renewed_flag,risk_score,risk_tier,mlflow_run_id,model_name,scored_at
L000011,PROP015-U0435,PROP015,Columbus,2024-10-27,2024-10,2025-08-23,10,2070.72,2043.34,1.0134,1,2,0,2,0,-0.0671,synthetic-demo-core-intel-v2026-05-16,2024-10,0,0,student_housing_pad,SignalLoop synthetic,urban_highrise,sunbelt_launch,Brightline Park,0.36001,0,0.63999,D9,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000012,PROP032-U0142,PROP032,Austin,2022-01-21,2022-01,2023-02-15,13,1870.02,1701.54,1.099,0,2,1,3,0,0.4023,synthetic-demo-core-intel-v2026-05-16,2022-01,0,0,hybrid_corner,TapestryBands synthetic,urban_highrise,college_city_corridor,Brightline Terrace,0.46291,0,0.53709,D7,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000013,PROP006-U0204,PROP006,Nashville,2024-02-29,2024-02,2025-03-25,13,1569.99,1324.03,1.1858,0,1,3,1,1,0.8572,synthetic-demo-core-intel-v2026-05-16,2024-02,0,0,hybrid_corner,TapestryBands synthetic,urban_highrise,major_msa_hub,Brightline Flats,0.56648,1,0.43352,D4,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000014,PROP026-U0256,PROP026,Chicago,2021-05-22,2021-05,2023-05-12,24,1746.58,1660.44,1.0519,2,2,4,2,0,0.736,synthetic-demo-core-intel-v2026-05-16,2021-05,1,0,student_housing_pad,TapestryBands synthetic,cottage_cluster,major_msa_hub,Meridian Flats,0.58285,1,0.41715,D3,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000015,PROP015-U0121,PROP015,Columbus,2022-03-11,2022-03,2022-10-07,7,1854.8,1787.79,1.0375,1,0,0,2,1,-0.0156,synthetic-demo-core-intel-v2026-05-16,2022-03,0,0,student_housing_pad,SignalLoop synthetic,urban_highrise,sunbelt_launch,Brightline Park,0.32441,0,0.67559,D10,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000016,PROP016-U0183,PROP016,Columbus,2023-03-20,2023-03,2024-09-10,18,1740.37,1803.47,0.965,1,0,2,1,0,0.5822,synthetic-demo-core-intel-v2026-05-16,2023-03,1,0,student_housing_pad,TapestryBands synthetic,wrap_garden,growth_infill,Nova Park,0.44541,0,0.55459,D7,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000017,PROP034-U0268,PROP034,Madison,2024-09-16,2024-09,2026-06-08,21,1641.48,1732.86,0.9473,1,1,1,2,1,0.1642,synthetic-demo-core-intel-v2026-05-16,2024-09,1,0,student_housing_pad,HarbourGlow synthetic,townhome_strip,major_msa_hub,Alto Walk,0.3813,0,0.6187,D9,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000018,PROP026-U0075,PROP026,Chicago,2022-01-07,2022-01,2023-09-29,21,709.9,702.5,1.0105,1,2,1,2,1,0.0368,synthetic-demo-core-intel-v2026-05-16,2022-01,1,0,student_housing_pad,TapestryBands synthetic,cottage_cluster,major_msa_hub,Meridian Flats,0.3438,0,0.6562,D9,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000019,PROP012-U0173,PROP012,Denver,2022-08-29,2022-08,2023-05-26,9,1433.32,1312.57,1.092,1,0,3,2,0,0.9408,synthetic-demo-core-intel-v2026-05-16,2022-08,0,0,hybrid_corner,LivStripe-O synthetic,townhome_strip,sunbelt_launch,Tapestry Park,0.56772,1,0.43228,D4,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000020,PROP034-U0317,PROP034,Madison,2024-03-25,2024-03,2025-05-19,14,1763.04,1664.44,1.0592,1,1,1,1,1,0.223,synthetic-demo-core-intel-v2026-05-16,2024-03,0,0,student_housing_pad,HarbourGlow synthetic,townhome_strip,major_msa_hub,Alto Walk,0.34566,0,0.65434,D9,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000021,PROP022-U0270,PROP022,Bloomington,2022-10-24,2022-10,2023-10-19,12,1338.26,1519.25,0.8809,2,2,2,2,1,0.6468,synthetic-demo-core-intel-v2026-05-16,2022-10,0,0,student_housing_pad,SignalLoop synthetic,wrap_garden,growth_infill,Piedmont Park,0.54297,1,0.45703,D5,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000022,PROP005-U0077,PROP005,Columbus,2023-08-14,2023-08,2024-10-07,14,1721.04,1813.07,0.9492,3,0,1,3,1,0.4035,synthetic-demo-core-intel-v2026-05-16,2023-08,0,0,student_housing_pad,TapestryBands synthetic,wrap_garden,growth_infill,Waypoint Quarter,0.40573,0,0.59427,D8,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000023,PROP015-U0246,PROP015,Columbus,2022-08-09,2022-08,2023-03-07,7,1815.61,2035.19,0.8921,1,3,1,2,1,0.3647,synthetic-demo-core-intel-v2026-05-16,2022-08,0,0,student_housing_pad,SignalLoop synthetic,urban_highrise,sunbelt_launch,Brightline Park,0.48427,0,0.51573,D6,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000024,PROP010-U0596,PROP010,Denver,2021-01-06,2021-01,2021-08-04,7,1561.28,1797.1,0.8688,1,2,3,2,1,1.0881,synthetic-demo-core-intel-v2026-05-16,2021-01,0,0,student_housing_pad,LivStripe-O synthetic,wrap_garden,college_city_corridor,Brightline Courts,0.67472,1,0.32528,D1,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000025,PROP025-U0122,PROP025,Denver,2022-02-01,2022-02,2022-07-31,6,1450.01,1368.98,1.0592,2,0,1,3,1,0.5201,synthetic-demo-core-intel-v2026-05-16,2022-02,0,0,btr_single_family_lot,LivStripe-O synthetic,urban_highrise,college_city_corridor,Tapestry Walk,0.43949,0,0.56051,D7,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000026,PROP032-U0008,PROP032,Austin,2023-03-03,2023-03,2025-03-22,25,1492.13,1596.15,0.9348,0,5,2,2,1,0.318,synthetic-demo-core-intel-v2026-05-16,2023-03,1,1,hybrid_corner,TapestryBands synthetic,urban_highrise,college_city_corridor,Brightline Terrace,0.56204,1,0.43796,D4,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000027,PROP002-U0367,PROP002,Chicago,2021-01-28,2021-01,2022-03-24,14,1764.62,1629.3,1.0831,1,2,3,1,1,0.7689,synthetic-demo-core-intel-v2026-05-16,2021-01,0,0,student_housing_pad,SignalLoop synthetic,urban_highrise,growth_infill,Catalyst Quarter,0.50938,1,0.49062,D6,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000028,PROP028-U0481,PROP028,Chicago,2021-11-21,2021-11,2022-09-17,10,1910.53,2078.33,0.9193,0,0,3,2,1,1.159,synthetic-demo-core-intel-v2026-05-16,2021-11,0,0,student_housing_pad,HarbourGlow synthetic,urban_highrise,major_msa_hub,Brightline Park,0.58815,1,0.41185,D3,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000029,PROP034-U0082,PROP034,Madison,2024-08-27,2024-08,2026-05-19,21,1059.18,1133.71,0.9343,0,0,3,2,1,0.9287,synthetic-demo-core-intel-v2026-05-16,2024-08,1,0,student_housing_pad,HarbourGlow synthetic,townhome_strip,major_msa_hub,Alto Walk,0.51418,1,0.48582,D5,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000030,PROP036-U0394,PROP036,Columbus,2021-01-22,2021-01,2022-04-17,15,1610.61,1321.19,1.2191,0,0,2,1,0,0.4143,synthetic-demo-core-intel-v2026-05-16,2021-01,1,0,student_housing_pad,TapestryBands synthetic,cottage_cluster,sunbelt_launch,Catalyst Flats,0.37125,0,0.62875,D9,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000031,PROP026-U0227,PROP026,Chicago,2021-12-13,2021-12,2023-01-07,13,1215.79,1257.41,0.9669,1,6,2,2,0,0.4477,synthetic-demo-core-intel-v2026-05-16,2021-12,0,1,student_housing_pad,TapestryBands synthetic,cottage_cluster,major_msa_hub,Meridian Flats,0.5162,1,0.4838,D5,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000032,PROP012-U0104,PROP012,Denver,2023-05-18,2023-05,2024-01-13,8,1703.06,1579.07,1.0785,0,0,0,4,0,0.274,synthetic-demo-core-intel-v2026-05-16,2023-05,0,0,hybrid_corner,LivStripe-O synthetic,townhome_strip,sunbelt_launch,Tapestry Park,0.41206,0,0.58794,D8,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000033,PROP006-U0284,PROP006,Nashville,2023-02-28,2023-02,2024-03-24,13,1639.96,1592.51,1.0298,0,3,3,3,1,1.1438,synthetic-demo-core-intel-v2026-05-16,2023-02,0,0,hybrid_corner,TapestryBands synthetic,urban_highrise,major_msa_hub,Brightline Flats,0.68752,1,0.31248,D1,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000034,PROP035-U0014,PROP035,Madison,2021-10-14,2021-10,2023-04-07,18,2191.9,2068.99,1.0594,1,1,3,2,0,0.7228,synthetic-demo-core-intel-v2026-05-16,2021-10,1,0,student_housing_pad,HarbourGlow synthetic,townhome_strip,growth_infill,Brightline Courts,0.52377,1,0.47623,D5,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000035,PROP015-U0496,PROP015,Columbus,2021-03-25,2021-03,2022-09-16,18,1452.61,1564.71,0.9284,0,2,2,3,1,0.7927,synthetic-demo-core-intel-v2026-05-16,2021-03,1,0,student_housing_pad,SignalLoop synthetic,urban_highrise,sunbelt_launch,Brightline Park,0.53123,1,0.46877,D5,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000036,PROP013-U0095,PROP013,Denver,2024-06-13,2024-06,2025-07-08,13,2167.44,2041.52,1.0617,1,1,3,4,1,1.2497,synthetic-demo-core-intel-v2026-05-16,2024-06,0,0,btr_single_family_lot,TapestryBands synthetic,cottage_cluster,major_msa_hub,Piedmont Walk,0.65698,1,0.34302,D2,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000037,PROP027-U0493,PROP027,Austin,2023-02-11,2023-02,2024-08-04,18,1847.28,1646.45,1.122,0,2,3,1,1,0.7813,synthetic-demo-core-intel-v2026-05-16,2023-02,1,0,student_housing_pad,SignalLoop synthetic,cottage_cluster,major_msa_hub,Piedmont Courts,0.54879,1,0.45121,D4,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000038,PROP027-U0256,PROP027,Austin,2023-03-14,2023-03,2024-12-03,21,1540.3,1434.57,1.0737,1,5,0,1,1,-0.3845,synthetic-demo-core-intel-v2026-05-16,2023-03,1,1,student_housing_pad,SignalLoop synthetic,cottage_cluster,major_msa_hub,Piedmont Courts,0.33667,0,0.66333,D10,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000039,PROP029-U0262,PROP029,Bloomington,2021-03-22,2021-03,2023-03-12,24,1620.31,1590.76,1.0186,0,2,1,1,1,0.0209,synthetic-demo-core-intel-v2026-05-16,2021-03,1,0,student_housing_pad,SignalLoop synthetic,townhome_strip,growth_infill,Brightline Courts,0.40677,0,0.59323,D8,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000040,PROP032-U0290,PROP032,Austin,2021-10-20,2021-10,2023-02-12,16,1680.12,1738.71,0.9663,0,0,3,2,0,1.0655,synthetic-demo-core-intel-v2026-05-16,2021-10,1,0,hybrid_corner,TapestryBands synthetic,urban_highrise,college_city_corridor,Brightline Terrace,0.59473,1,0.40527,D3,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000041,PROP032-U0218,PROP032,Austin,2021-04-13,2021-04,2022-02-07,10,1490.34,1641.83,0.9077,0,0,0,2,1,0.2746,synthetic-demo-core-intel-v2026-05-16,2021-04,0,0,hybrid_corner,TapestryBands synthetic,urban_highrise,college_city_corridor,Brightline Terrace,0.39322,0,0.60678,D8,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000042,PROP008-U0069,PROP008,Chicago,2024-10-02,2024-10,2025-05-30,8,1688.28,1761.98,0.9582,2,0,4,4,1,1.4865,synthetic-demo-core-intel-v2026-05-16,2024-10,0,0,btr_single_family_lot,TapestryBands synthetic,cottage_cluster,college_city_corridor,Piedmont District,0.66031,1,0.33969,D2,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000043,PROP008-U0055,PROP008,Chicago,2023-12-14,2023-12,2024-09-09,9,1795.49,1884.59,0.9527,2,1,1,4,0,0.5218,synthetic-demo-core-intel-v2026-05-16,2023-12,0,0,btr_single_family_lot,TapestryBands synthetic,cottage_cluster,college_city_corridor,Piedmont District,0.45097,0,0.54903,D7,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000044,PROP010-U0118,PROP010,Denver,2023-02-05,2023-02,2023-08-04,6,1299.71,1381.29,0.9409,1,1,3,2,1,1.0327,synthetic-demo-core-intel-v2026-05-16,2023-02,0,0,student_housing_pad,LivStripe-O synthetic,wrap_garden,college_city_corridor,Brightline Courts,0.63093,1,0.36907,D2,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000045,PROP024-U0277,PROP024,Phoenix,2023-08-12,2023-08,2025-01-03,17,1552.4,1660.25,0.935,2,0,2,1,0,0.5677,synthetic-demo-core-intel-v2026-05-16,2023-08,1,0,hybrid_corner,TapestryBands synthetic,wrap_garden,major_msa_hub,Brightline Courts,0.43055,0,0.56945,D8,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000046,PROP022-U0273,PROP022,Bloomington,2021-08-20,2021-08,2022-06-16,10,1540.16,1675.44,0.9193,2,2,3,1,0,0.905,synthetic-demo-core-intel-v2026-05-16,2021-08,0,0,student_housing_pad,SignalLoop synthetic,wrap_garden,growth_infill,Piedmont Park,0.59546,1,0.40454,D3,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000047,PROP031-U0194,PROP031,Nashville,2024-10-15,2024-10,2025-08-11,10,1941.26,2354.62,0.8244,1,1,1,5,0,0.95,synthetic-demo-core-intel-v2026-05-16,2024-10,0,0,btr_single_family_lot,HarbourGlow synthetic,townhome_strip,sunbelt_launch,Harbour Quarter,0.63376,1,0.36624,D2,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000048,PROP031-U0025,PROP031,Nashville,2022-12-26,2022-12,2024-08-17,20,2013.14,2150.18,0.9363,0,1,3,5,1,1.324,synthetic-demo-core-intel-v2026-05-16,2022-12,1,0,btr_single_family_lot,HarbourGlow synthetic,townhome_strip,sunbelt_launch,Harbour Quarter,0.72812,1,0.27188,D1,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000049,PROP029-U0313,PROP029,Bloomington,2022-12-25,2022-12,2023-12-20,12,1539.93,1577.44,0.9762,3,1,0,1,0,-0.1449,synthetic-demo-core-intel-v2026-05-16,2022-12,0,0,student_housing_pad,SignalLoop synthetic,townhome_strip,growth_infill,Brightline Courts,0.32129,0,0.67871,D10,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000050,PROP003-U0299,PROP003,Denver,2024-09-05,2024-09,2026-06-27,22,1483.88,1425.21,1.0412,0,0,1,1,1,0.2344,synthetic-demo-core-intel-v2026-05-16,2024-09,1,0,hybrid_corner,HarbourGlow synthetic,cottage_cluster,major_msa_hub,Nova Courts,0.39605,0,0.60395,D8,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000051,PROP027-U0012,PROP027,Austin,2021-05-15,2021-05,2022-01-10,8,1698.52,1743.26,0.9743,0,2,0,2,1,0.1707,synthetic-demo-core-intel-v2026-05-16,2021-05,0,0,student_housing_pad,SignalLoop synthetic,cottage_cluster,major_msa_hub,Piedmont Courts,0.40819,0,0.59181,D8,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000052,PROP031-U0114,PROP031,Nashville,2022-08-17,2022-08,2023-08-12,12,2101.7,2307.83,0.9107,0,2,0,4,0,0.5666,synthetic-demo-core-intel-v2026-05-16,2022-08,0,0,btr_single_family_lot,HarbourGlow synthetic,townhome_strip,sunbelt_launch,Harbour Quarter,0.53615,1,0.46385,D5,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000053,PROP036-U0245,PROP036,Columbus,2021-05-04,2021-05,2021-11-30,7,1466.11,1314.29,1.1155,2,1,0,1,0,-0.2479,synthetic-demo-core-intel-v2026-05-16,2021-05,0,0,student_housing_pad,TapestryBands synthetic,cottage_cluster,sunbelt_launch,Catalyst Flats,0.26892,0,0.73108,D10,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000054,PROP013-U0088,PROP013,Denver,2022-08-19,2022-08,2023-12-12,16,1649.43,1825.89,0.9034,1,2,2,3,1,1.0515,synthetic-demo-core-intel-v2026-05-16,2022-08,1,0,btr_single_family_lot,TapestryBands synthetic,cottage_cluster,major_msa_hub,Piedmont Walk,0.5959,1,0.4041,D3,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000055,PROP028-U0431,PROP028,Chicago,2022-01-10,2022-01,2022-09-07,8,1476.2,1422.66,1.0376,1,0,0,2,0,-0.0158,synthetic-demo-core-intel-v2026-05-16,2022-01,0,0,student_housing_pad,HarbourGlow synthetic,urban_highrise,major_msa_hub,Brightline Park,0.29762,0,0.70238,D10,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000056,PROP015-U0417,PROP015,Columbus,2022-10-08,2022-10,2023-08-04,10,1543.7,1513.27,1.0201,1,1,1,3,1,0.4359,synthetic-demo-core-intel-v2026-05-16,2022-10,0,0,student_housing_pad,SignalLoop synthetic,urban_highrise,sunbelt_launch,Brightline Park,0.41918,0,0.58082,D8,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000057,PROP007-U0117,PROP007,Columbus,2023-09-10,2023-09,2025-05-02,20,2191.99,2289.21,0.9575,0,2,2,5,0,0.8433,synthetic-demo-core-intel-v2026-05-16,2023-09,1,0,btr_single_family_lot,TapestryBands synthetic,cottage_cluster,growth_infill,Alto Terrace,0.59368,1,0.40632,D3,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000058,PROP013-U0047,PROP013,Denver,2022-01-28,2022-01,2023-12-19,23,2076.91,1983.93,1.0469,0,1,3,3,1,1.0847,synthetic-demo-core-intel-v2026-05-16,2022-01,1,0,btr_single_family_lot,TapestryBands synthetic,cottage_cluster,major_msa_hub,Piedmont Walk,0.62794,1,0.37206,D2,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000059,PROP010-U0691,PROP010,Denver,2021-03-13,2021-03,2022-07-06,16,1589.16,1651.14,0.9625,3,1,0,1,0,-0.1563,synthetic-demo-core-intel-v2026-05-16,2021-03,1,0,student_housing_pad,LivStripe-O synthetic,wrap_garden,college_city_corridor,Brightline Courts,0.33867,0,0.66133,D10,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000060,PROP034-U0022,PROP034,Madison,2021-08-15,2021-08,2023-09-04,25,2074.68,1871.5,1.1086,1,2,3,1,0,0.4044,synthetic-demo-core-intel-v2026-05-16,2021-08,1,0,student_housing_pad,HarbourGlow synthetic,townhome_strip,major_msa_hub,Alto Walk,0.48049,0,0.51951,D6,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000061,PROP009-U0020,PROP009,Denver,2023-09-30,2023-09,2025-06-21,21,1581.13,1698.86,0.9307,1,2,2,2,1,0.5546,synthetic-demo-core-intel-v2026-05-16,2023-09,1,0,student_housing_pad,LivStripe-O synthetic,townhome_strip,growth_infill,Catalyst Terrace,0.55331,1,0.44669,D4,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000062,PROP006-U0101,PROP006,Nashville,2023-03-22,2023-03,2024-12-11,21,2040.51,2074.5,0.9836,1,3,0,3,0,-0.0189,synthetic-demo-core-intel-v2026-05-16,2023-03,1,0,hybrid_corner,TapestryBands synthetic,urban_highrise,major_msa_hub,Brightline Flats,0.46372,0,0.53628,D7,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000063,PROP022-U0258,PROP022,Bloomington,2024-10-02,2024-10,2026-10-22,25,1901.42,1900.83,1.0003,0,0,0,1,1,-0.2104,synthetic-demo-core-intel-v2026-05-16,2024-10,1,0,student_housing_pad,SignalLoop synthetic,wrap_garden,growth_infill,Piedmont Park,0.32544,0,0.67456,D10,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000064,PROP022-U0189,PROP022,Bloomington,2024-06-05,2024-06,2025-01-01,7,1883.41,1927.39,0.9772,0,3,4,2,1,1.2648,synthetic-demo-core-intel-v2026-05-16,2024-06,0,0,student_housing_pad,SignalLoop synthetic,wrap_garden,growth_infill,Piedmont Park,0.72016,1,0.27984,D1,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000065,PROP022-U0023,PROP022,Bloomington,2021-08-14,2021-08,2022-06-10,10,1671.9,1669.03,1.0017,3,1,2,1,0,0.4407,synthetic-demo-core-intel-v2026-05-16,2021-08,0,0,student_housing_pad,SignalLoop synthetic,wrap_garden,growth_infill,Piedmont Park,0.46881,0,0.53119,D7,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
L000066,PROP006-U0319,PROP006,Nashville,2023-10-28,2023-10,2024-12-21,14,1709.77,1773.94,0.9638,1,1,4,1,0,1.3818,synthetic-demo-core-intel-v2026-05-16,2023-10,0,0,hybrid_corner,TapestryBands synthetic,urban_highrise,major_msa_hub,Brightline Flats,0.70191,1,0.29809,D1,n/a-local-pickle,renewal_propensity_logreg_joblib,2026-05-15T18:01:42Z
